FID,BDNAME,BDNUM,TEXT_NBR,Shape_STAr,Shape_STLe,NCR_LINK,IMAGE
1,Phillips West,90,90,10669249.7418,14403.8859339,http://www.nrp.org/r2/Neighborhoods/Orgs/PHW.html,PHW
2,Downtown West,87,87,20756129.9826,19220.6025407,http://www.nrp.org/r2/Neighborhoods/Orgs/DTN.html,DTN
3,Downtown East,88,88,10254989.3901,13436.6013564,http://www.nrp.org/r2/Neighborhoods/Orgs/DTN.html,DTN
4,Ventura Village,89,89,12635259.2162,16988.5327168,http://www.nrp.org/r2/Neighborhoods/Orgs/VEN.html,VEN
5,Sumner - Glenwood,29,29,5741860.13983,11065.343364,http://www.nrp.org/r2/Neighborhoods/Orgs/SGL.html,SGL
6,Shingle Creek,1,01,13900423.8703,15767.9990023,http://www.nrp.org/r2/Neighborhoods/Orgs/SHC.html,SHC
7,Lind - Bohanon,2,02,22382705.6261,21167.8147498,http://www.nrp.org/r2/Neighborhoods/Orgs/LBN.html,LBN
8,Webber - Camden,4,04,25772560.607,22103.7965069,http://www.nrp.org/r2/Neighborhoods/Orgs/WCO.html,
9,Bottineau,14,14,7876320.82195,11648.587358,http://www.nrp.org/r2/Neighborhoods/Orgs/BOT.html,BOT
10,Victory,3,03,19064961.0202,21488.51438,http://www.nrp.org/r2/Neighborhoods/Orgs/VIC.html,VIC
11,Humboldt Industrial Area,8,08,7640567.3302,13657.2970237, ,
12,Howe,63,63,29649851.5619,23551.0749491,http://ncr.ediq.com/r2/Neighborhoods/Orgs/LFW.html,LFW
13,Hiawatha,64,64,34604293.0049,29627.7758715,http://ncr.ediq.com/r2/Neighborhoods/Orgs/LFW.html,LFW
14,Windom,68,68,20475332.6373,19303.17589,http://www.nrp.org/r2/Neighborhoods/Orgs/WDM.html,WDM
15,Ericsson,76,76,25397728.6807,24198.3475435,http://www.nrp.org/r2/Neighborhoods/Orgs/SEN.html,SEN
16,Field,77,77,9638974.78602,14399.1753059,http://www.nrp.org/r2/Neighborhoods/Orgs/FRN.html,FRN
17,Page,78,78,9174383.47504,12376.9150307,http://www.nrp.org/r2/Neighborhoods/Orgs/HPD.html,HPD
18,Como,37,37,31444478.1415,26465.8093917,http://www.nrp.org/r2/Neighborhoods/Orgs/SEC.html,SEC
19,Cedar Riverside,38,38,16011558.5676,24930.3486472,http://www.nrp.org/r2/Neighborhoods/Orgs/CDR.html,CDR
20,Prospect Park - East River Road,39,39,35534761.0442,26763.6926512,http://www.nrp.org/r2/Neighborhoods/Orgs/PRO.html,PRO
21,University of Minnesota,40,40,18295341.5914,22835.765591, ,
22,Jordan,24,24,22209664.2329,20245.9560024,http://www.nrp.org/r2/Neighborhoods/Orgs/JOR.html,JOR
23,Hawthorne,25,25,26356707.1552,20343.5092756,http://www.nrp.org/r2/Neighborhoods/Orgs/HAW.html,HAW
24,Willard - Hay,26,26,29537890.7435,28618.9533319,http://www.nrp.org/r2/Neighborhoods/Orgs/NNW.html,NNW
25,Near - North,27,27,29597842.5155,27835.1166424,http://www.nrp.org/r2/Neighborhoods/Orgs/NNW.html,NNW
26,Harrison,28,28,15869757.7919,21534.7040571,http://www.nrp.org/r2/Neighborhoods/Orgs/HAR.html,HAR
27,Loring Park,31,31,13044294.1103,16372.91286,http://www.nrp.org/r2/Neighborhoods/Orgs/LOR.html,LOR
28,Steven's Square - Loring Heights,32,32,5182924.55859,11558.1948339,http://www.nrp.org/r2/Neighborhoods/Orgs/SSQ.html,SSQ
